platform_code,time,latitude,longitude,windspd,winddir,slp,drogue,sst,battery,presdiff,salinity,conductivity,gpsfixdel,avgwaveperiod,wvht,domwaveperiod,domwavedir
,UTC,degrees_north,degrees_east,m/s,degree,hPa,,deg C,volts,hPa,PSU,,,s,m,s,degree
3801700,2023-11-20T00:00:00Z,22.8884339,-69.2522978,NaN,NaN,NaN,NaN,28.23,7.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301714,2023-11-20T01:00:00Z,23.6806,-57.4166,NaN,NaN,1016.0,NaN,27.84,11.0,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4102669,2023-11-20T01:03:00Z,24.7708,-52.9582,NaN,NaN,NaN,47,27.66,7.2,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5501572,2023-11-20T01:00:00Z,34.1218,-43.19,NaN,NaN,NaN,NaN,23.31,10.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301735,2023-11-20T01:00:00Z,30.6826,-42.7578,NaN,NaN,1025.2,NaN,25.04,10.4,-0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6402615,2023-11-20T01:00:00Z,25.5802,-61.423,NaN,NaN,1012.8,NaN,27.42,10.6,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4102557,2023-11-20T01:00:00Z,15.5954,-68.7618,NaN,NaN,1010.7,26,29.32,10.6,0.8,NaN,NaN,5,NaN,NaN,NaN,NaN
3101575,2023-11-20T01:00:00Z,11.595,-58.3188,NaN,NaN,NaN,29,29.14,11.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301726,2023-11-20T00:00:00Z,23.1322,-41.2792,NaN,NaN,1020.5,33,27.5,11.2,0.5,NaN,NaN,1,NaN,NaN,NaN,NaN
1301726,2023-11-20T01:00:00Z,23.1336,-41.277,NaN,NaN,1020.2,33,27.49,11.2,-0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4102547,2023-11-20T01:00:00Z,26.7854,-66.695,NaN,NaN,1008.1,12,26.04,9.4,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3101515,2023-11-20T01:00:00Z,31.4006,-52.3164,NaN,NaN,NaN,NaN,25.07,13.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4101542,2023-11-20T01:00:00Z,32.6274,-44.715,NaN,NaN,NaN,NaN,NaN,9.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301706,2023-11-20T01:00:00Z,20.474,-68.9742,NaN,NaN,1010.5,20,27.85,10.4,1.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4101851,2023-11-20T01:00:00Z,30.3694,-57.1452,NaN,NaN,1014.1,NaN,25.02,10.8,1.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402670,2023-11-20T01:00:00Z,21.0468,-60.8322,NaN,NaN,1014.4,NaN,28.36,10.6,1.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402618,2023-11-20T01:00:00Z,32.647,-62.4274,NaN,NaN,1007.5,NaN,23.94,10.4,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4101858,2023-11-20T01:00:00Z,35.0538,-52.5338,NaN,NaN,NaN,17,NaN,10.4,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN
1301755,2023-11-20T01:00:00Z,6.7082,-57.9248,NaN,NaN,1011.7,NaN,NaN,9.2,1.4,NaN,NaN,4,NaN,NaN,NaN,NaN
4102552,2023-11-20T01:00:00Z,16.6342,-72.9516,NaN,NaN,1010.6,19,29.48,10.6,0.7,NaN,NaN,4,NaN,NaN,NaN,NaN
4101541,2023-11-20T01:00:00Z,29.3772,-53.0034,NaN,NaN,NaN,NaN,25.04,7.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301700,2023-11-20T01:00:00Z,22.996,-57.1788,NaN,NaN,1016.0,NaN,27.53,10.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402884,2023-11-20T01:04:00Z,27.3058,-69.9836,NaN,NaN,1009.2,23,25.81,10.2,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6203730,2023-11-20T01:00:00Z,26.8118,-72.8806,NaN,NaN,1010.8,NaN,26.84,10.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301578,2023-11-20T01:00:00Z,26.5416,-78.5794,NaN,NaN,NaN,NaN,16.39,9.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402672,2023-11-20T01:00:00Z,20.172,-57.056,NaN,NaN,1016.1,NaN,28.65,10.8,1.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6203766,2023-11-20T01:00:00Z,27.1218,-50.6514,NaN,NaN,NaN,NaN,26.45,10.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301697,2023-11-20T01:00:00Z,34.5672,-63.9208,NaN,NaN,NaN,NaN,22.88,9.4,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN
4101884,2023-11-20T01:00:00Z,35.9772,-71.3544,NaN,NaN,NaN,22,22.18,10.8,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN
3801596,2023-11-20T01:00:00Z,36.4816,-43.4444,NaN,NaN,1027.3,8,22.46,10.4,-1.6,NaN,NaN,4,NaN,NaN,NaN,NaN
6203839,2023-11-20T01:00:00Z,33.8718,-52.8118,NaN,NaN,1015.6,NaN,23.76,10.4,-0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4102561,2023-11-20T01:00:00Z,15.1776,-65.1252,NaN,NaN,1012.7,24,29.24,10.4,0.8,NaN,NaN,4,NaN,NaN,NaN,NaN
4402674,2023-11-20T01:00:00Z,29.653,-65.7284,NaN,NaN,1008.2,NaN,26.07,10.8,1.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4101523,2023-11-20T01:00:00Z,31.7696,-63.1796,NaN,NaN,NaN,2,NaN,11.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5301663,2023-11-20T01:00:00Z,36.5586,-70.9324,NaN,NaN,NaN,4,NaN,15.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402879,2023-11-20T01:03:00Z,36.3164,-50.6886,NaN,NaN,1017.6,60,22.43,9.8,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501779,2023-11-20T01:00:00Z,20.4536,-64.097,NaN,NaN,NaN,NaN,28.53,10.4,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN
6402616,2023-11-20T01:00:00Z,28.4808,-42.404,NaN,NaN,1024.2,NaN,25.29,10.8,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501780,2023-11-20T01:00:00Z,22.7532,-61.1258,NaN,NaN,NaN,NaN,27.94,10.4,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN
4401864,2023-11-20T01:00:00Z,29.1968,-57.7408,NaN,NaN,1013.9,NaN,25.78,10.4,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402675,2023-11-20T01:00:00Z,26.0294,-45.7448,NaN,NaN,1021.2,NaN,27.35,10.8,-0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4102667,2023-11-20T01:00:00Z,24.0152,-74.4404,NaN,NaN,NaN,8,27.99,7.8,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402665,2023-11-20T01:00:00Z,27.5622,-71.0994,NaN,NaN,1010.2,NaN,26.25,9.6,2.2,NaN,NaN,4,NaN,NaN,NaN,NaN
6203771,2023-11-20T01:00:00Z,26.448,-41.0826,NaN,NaN,1022.7,NaN,25.93,10.6,-0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501691,2023-11-20T01:00:00Z,29.4088,-69.3732,NaN,NaN,NaN,13,24.66,17.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4102665,2023-11-20T01:00:00Z,29.3886,-78.103,NaN,NaN,NaN,31,26.14,7.2,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6203772,2023-11-20T01:00:00Z,23.893,-68.4986,NaN,NaN,1009.8,NaN,27.1,10.6,1.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301783,2023-11-20T01:00:00Z,19.3812,-56.1522,NaN,NaN,1017.1,46,28.21,11.6,1.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6402617,2023-11-20T01:00:00Z,29.5622,-44.4508,NaN,NaN,1024.8,NaN,25.01,11.2,-0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6203773,2023-11-20T01:00:00Z,34.4516,-60.7238,NaN,NaN,1007.0,NaN,22.67,10.4,1.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301712,2023-11-20T01:00:00Z,23.7768,-62.1964,NaN,NaN,1012.9,NaN,27.56,11.0,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301736,2023-11-20T01:00:00Z,24.5862,-39.8316,NaN,NaN,1021.4,22,27.31,10.6,0.0,NaN,NaN,1,NaN,NaN,NaN,NaN
1301737,2023-11-20T01:00:00Z,26.7416,-56.693,NaN,NaN,1016.0,NaN,26.67,10.8,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301731,2023-11-20T01:00:00Z,25.6452,-40.849,NaN,NaN,1022.4,NaN,27.43,11.0,0.0,NaN,NaN,4,NaN,NaN,NaN,NaN
1301570,2023-11-20T01:00:00Z,25.7936,-52.395,NaN,NaN,NaN,NaN,27.33,10.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5301666,2023-11-20T01:00:00Z,40.8982,-53.18,NaN,NaN,NaN,NaN,21.38,15.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6203597,2023-11-20T01:00:00Z,32.3666,-67.0512,NaN,NaN,NaN,NaN,23.36,9.4,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5102764,2023-11-20T01:00:00Z,2.6746,-81.2092,NaN,NaN,NaN,NaN,27.89,10.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6203849,2023-11-20T01:00:00Z,26.0232,-44.7652,NaN,NaN,1021.7,NaN,27.46,10.2,-0.3,NaN,NaN,4,NaN,NaN,NaN,NaN
4101848,2023-11-20T01:00:00Z,36.9534,-73.5268,NaN,NaN,1017.2,NaN,24.88,10.6,1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402660,2023-11-20T01:00:00Z,24.4866,-54.7766,NaN,NaN,1017.7,NaN,27.64,9.6,0.5,NaN,NaN,5,NaN,NaN,NaN,NaN
1301713,2023-11-20T01:00:00Z,16.0436,-72.876,NaN,NaN,1010.6,NaN,29.39,10.8,0.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301797,2023-11-20T01:00:00Z,17.9408,-43.9496,NaN,NaN,1017.7,33,27.89,10.4,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402744,2023-11-20T01:00:00Z,39.6682,-43.4036,NaN,NaN,1026.3,20,20.67,10.2,-1.7,NaN,NaN,2,NaN,NaN,NaN,NaN
1301718,2023-11-20T01:00:00Z,30.6078,-45.56,NaN,NaN,1024.3,NaN,25.24,10.4,-0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301779,2023-11-20T00:00:00Z,23.8444,-51.1324,NaN,NaN,1018.8,34,27.6,11.6,0.4,NaN,NaN,3,NaN,NaN,NaN,NaN
1301779,2023-11-20T01:00:00Z,23.8466,-51.1346,NaN,NaN,1018.8,34,27.59,11.6,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301792,2023-11-20T01:02:00Z,19.63,-46.4144,NaN,NaN,1017.7,47,28.16,10.6,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301749,2023-11-20T01:00:00Z,1.8168,-78.7628,NaN,NaN,NaN,8,27.09,10.2,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN
1301719,2023-11-20T01:00:00Z,26.3362,-55.478,NaN,NaN,1017.7,NaN,26.83,10.8,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301774,2023-11-20T01:00:00Z,30.8296,-60.6112,NaN,NaN,1011.1,47,23.72,11.6,2.9,NaN,NaN,1,NaN,NaN,NaN,NaN
6402618,2023-11-20T01:00:00Z,24.084,-49.8862,NaN,NaN,1019.4,NaN,27.69,11.0,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6203861,2023-11-20T01:00:00Z,26.3912,-45.7902,NaN,NaN,1021.6,NaN,27.09,10.4,-0.2,NaN,NaN,4,NaN,NaN,NaN,NaN
